,RecordNum,Date Time(UTC),PTB110_mb,P4_mb,P1_mb,T1_C,RH1,T_CS215,RH_CS215,Vbat,N1Cts,N2Cts,N3Cts,N4Cts,N5Cts,N6Cts,N7Cts,N8Cts,N1ETsec,N3ETsec,N5ETsec,N7ETsec,N1T(C),N1RH,N5T(C),N5RH,GpsUTC,LatDec,LongDec,Alt,Qual,NumSats,HDOP,Speed_kmh,COG,SpeedQuality,strDate,timestamp,x,y,total_counts,filtered_counts,incoming_flux,corrected_counts,corrected_smoothed,VWC
0,2, 2018/05/01 14:15:00,962.95,962.8,961.4,23.2,35.4,20.9,72.7,13.574,37.0,60.0,35.0,45.0,48.0,27.0,43.0,58.0,52,52,52,52,23.9,23.2,23.4,16.0,141136,38.68368,-97.37195,393.2,2.0,10,0.8,0.0,270.7,A,10518.0,2018-05-01 14:15:00,641605.4591243969,4282932.801334228,353.0,,100.797,,,
1,3, 2018/05/01 14:16:00,962.88,962.7,961.3,23.3,35.5,21.0,72.7,13.417,53.0,53.0,39.0,36.0,44.0,37.0,42.0,41.0,60,60,60,60,24.2,23.1,23.6,16.0,141236,38.68362,-97.37197,387.2,2.0,11,0.8,0.0,270.7,A,10518.0,2018-05-01 14:16:00,641603.8377339911,4282926.111932663,345.0,,100.797,,,
2,4, 2018/05/01 14:17:00,962.64,962.5,961.1,23.4,35.4,21.2,72.2,13.282,33.0,48.0,35.0,32.0,41.0,38.0,29.0,38.0,60,60,60,60,24.3,23.1,23.7,16.0,141336,38.68214,-97.37199,388.2,1.0,11,0.8,3.89,356.3,A,10518.0,2018-05-01 14:17:00,641605.0156554086,4282761.838122485,294.0,,100.797,,,
3,5, 2018/05/01 14:18:00,962.41,962.2,960.9,23.5,35.5,21.2,72.0,13.191,40.0,34.0,56.0,45.0,37.0,47.0,27.0,33.0,60,60,60,60,24.5,23.1,23.8,16.0,141434,38.68637,-97.37202,387.5,1.0,11,0.8,41.71,359.86,A,10518.0,2018-05-01 14:18:00,641594.0671795191,4283231.2158491155,319.0,,100.797,,,
4,6, 2018/05/01 14:19:00,962.48,962.1,960.8,23.6,35.4,21.4,72.2,13.13,46.0,46.0,44.0,56.0,45.0,59.0,38.0,45.0,60,60,60,60,24.6,23.0,23.9,16.0,141534,38.69254,-97.37202,388.8,2.0,06,1.0,41.0,359.75,A,10518.0,2018-05-01 14:19:00,641581.9024197229,4283915.931914857,379.0,379.0,100.797,405.0,,
5,7, 2018/05/01 14:20:00,961.83,961.5,960.2,23.7,35.3,21.4,72.0,13.081,46.0,49.0,37.0,38.0,57.0,50.0,49.0,38.0,60,60,60,60,24.7,23.0,24.0,16.0,141634,38.69871,-97.37203,394.3,2.0,10,0.8,41.08,359.3,A,10518.0,2018-05-01 14:20:00,641568.8663571709,4284600.633193207,364.0,364.0,100.797,387.0,364.0,0.16093412797992468
6,8, 2018/05/01 14:21:00,962.25,962.2,960.9,23.8,35.3,21.3,71.5,13.034,46.0,45.0,41.0,45.0,29.0,42.0,29.0,32.0,60,60,60,60,24.8,23.0,24.1,16.0,141734,38.7049,-97.37203,387.1,2.0,11,0.8,40.24,0.19,A,10518.0,2018-05-01 14:21:00,641556.6589322304,4285287.570096842,309.0,309.0,100.797,329.0,340.0,0.22517651403249633
7,9, 2018/05/01 14:22:00,961.91,961.8,960.5,24.0,35.2,21.3,71.8,13.02,45.0,35.0,41.0,50.0,34.0,52.0,43.0,46.0,60,60,60,60,24.8,22.9,24.2,16.0,141834,38.71096,-97.37203,389.0,2.0,12,0.8,36.87,0.5,A,10518.0,2018-05-01 14:22:00,641544.7062768848,4285960.080865258,346.0,346.0,100.797,368.0,342.0,0.21896579330422122
8,10, 2018/05/01 14:23:00,962.31,961.7,960.5,24.1,35.2,21.4,71.2,13.004,36.0,43.0,35.0,43.0,45.0,40.0,35.0,44.0,60,60,60,60,24.9,22.9,24.3,16.0,141934,38.71711,-97.37202,389.6,1.0,11,0.8,40.91,359.82,A,10518.0,2018-05-01 14:23:00,641533.4439145772,4286642.595530117,321.0,321.0,100.797,342.0,356.0,0.18008520475561432
9,11, 2018/05/01 14:24:00,962.28,962.2,960.9,24.2,35.2,21.3,72.0,12.982,55.0,42.0,53.0,31.0,49.0,37.0,53.0,46.0,60,60,60,60,25.0,22.9,24.3,16.0,142034,38.72292,-97.37201,389.3,2.0,12,0.8,36.82,1.15,A,10518.0,2018-05-01 14:24:00,641522.850609086,4287287.379140912,366.0,366.0,100.797,390.0,390.0,0.11010733549083061
