field,date,core_number,distance_from_station,latitude,longitude,top_depth,bottom_depth,core_diameter,wet_mass_with_bag,mass_empty_bag,can_number,mass_empty_can,wet_mass_with_can,dry_mass_with_can,mass_water,theta_g,volume,bulk_density,theta_v,Observation
Flickner,22-Oct,1,5,N38.23459,W97.57101,0,5,30.49,45.31,5.31,1,52.1,92.03,85.31,6.72,0.202,36.51486406,0.909,0.184403451,
Flickner,22-Oct,1,5,N38.23459,W97.57101,5,10,30.49,69.53,5.31,2,51.85,115.97,103.85,12.12,0.233,36.51486406,1.424,0.332584795,
Flickner,22-Oct,1,5,N38.23459,W97.57101,10,25,30.49,214.9,5.31,3,51.56,260.97,219.77,41.2,0.245,109.5445922,1.536,0.376856258,
Flickner,22-Oct,1,5,N38.23459,W97.57101,25,40,30.49,217.52,5.31,4,52.35,264.46,222.23,42.23,0.249,109.5445922,1.551,0.386277665,
Flickner,22-Oct,2,5,N38.23464,W97.57101,0,5,30.49,45.92,5.31,5,52.15,92.59,85.93,6.66,0.197,36.51486406,0.925,0.182756991,
Flickner,22-Oct,2,5,N38.23464,W97.57101,5,10,30.49,61.5,5.31,6,52.13,108.26,97.42,10.84,0.239,36.51486406,1.240,0.297460328,
Flickner,22-Oct,2,5,N38.23464,W97.57101,10,25,30.49,212.43,5.31,7,52.06,258.98,217.82,41.16,0.248,109.5445922,1.513,0.376490379,
Flickner,22-Oct,2,5,N38.23464,W97.57101,25,39,30.49,219.65,5.31,8,52.49,266.71,219.75,46.96,0.281,102.2416194,1.636,0.460224598,
Flickner,22-Oct,3,5,N38.23465,W97.57095,0,5,30.49,55.65,5.31,9,52.69,102.92,93.48,9.44,0.231,36.51486406,1.117,0.259042943,residue a lot
Flickner,22-Oct,3,5,N38.23465,W97.57095,5,10,30.49,68.32,5.31,10,51.93,114.86,102.59,12.27,0.242,36.51486406,1.387,0.336700943,
Flickner,22-Oct,3,5,N38.23465,W97.57095,10,25,30.49,220.65,5.31,11,52.19,267.19,226.94,40.25,0.230,109.5445922,1.595,0.368166612,
Flickner,22-Oct,3,5,N38.23465,W97.57095,25,40,30.49,217.91,5.31,12,52.16,264.63,219.46,45.17,0.270,109.5445922,1.527,0.413169835,
