"TOA5","10277","CR300","10277","CR300-CELL205.Std.10.04","CPU:KS003.CR300","37658","Table1"
"TIMESTAMP","RECORD","station","farm","field","latitude","longitude","altitude","battery_voltage_Min","PTemp_Avg","counts_1_Tot","counts_2_Tot","solar_flux_density_Avg","lightning_strike_count_Tot","precipitation_Tot","strike_distance_Min","wind_speed_Avg","wind_direction_Avg","wind_speed_gust_Max","air_temperature_Avg","vapor_pressure_Avg","barometric_pressure_Avg","relative_humidity_Avg","humidity_sensor_temperature_Avg","tilt_north_south_Avg","tilt_west_east_Avg","NDVI_Avg"
"TS","RN","name","name","name","decdegrees","decdegrees","m","volts","celsius","counts","counts","W/m^2","count","mm","km","m/s","degrees","m/s","celsius","mbar","mbar","%","celsius","degrees","degrees",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Min","Avg","Tot","Tot","Avg","Tot","Tot","Min","Avg","Avg","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-09-22 12:00:00",0,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,13.52,29.04,0,0,795,0,0,0,1.93,352.3,4.2,22.3,9.2,973,41.3,26.4,-1,1,0.311
"2021-09-22 13:00:00",1,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,13.53,29.98,755,870,798.3,0,0,0,2.87,291.6,9.02,22.9,9.08,972,32.63,26.8,-0.975,0.95,0.308
"2021-09-22 14:00:00",2,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,13.53,30.43,769,953,686.5,0,0,0,2.383,292.8,5.54,23.38,8.68,971,30.25,27.2,-0.775,0.625,0.31
"2021-09-22 15:00:00",3,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,13.47,32.44,734,877,628,0,0,0,2.333,247.1,5.39,23.97,8.4,970,28.2,27.55,-0.825,0.875,0.3
"2021-09-22 16:00:00",4,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,13.45,34.21,776,960,491.3,0,0,0,2.023,232.7,4.53,24.23,8.13,969,26.85,27.93,-0.75,0.775,0.29
"2021-09-22 17:00:00",5,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,13.44,34.17,765,917,312.3,0,0,0,1.72,252.8,3.85,24.08,8.18,968,27.2,27.35,-0.875,0.575,0.266
"2021-09-22 18:00:00",6,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,13.25,32.16,768,860,127.3,0,0,0,1.1,174.2,3.75,23.63,8.58,968,29.4,25.88,-0.9,0.575,0.211
"2021-09-22 19:00:00",7,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,12.91,25.11,787,926,11.25,0,0,0,1.18,79.23,1.94,20.75,9.25,968,37.95,21.45,-0.85,0.675,"NAN"
"2021-09-22 20:00:00",8,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,12.87,18.77,782,878,0,0,0,0,2.02,88,2.65,17.35,9.05,968,45.78,17.35,-0.775,0.7,"NAN"
"2021-09-22 21:00:00",9,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,12.83,16.64,793,898,0,0,0,0,2.06,95.1,2.9,15.65,9.2,968,51.93,15.53,-0.75,0.8,"NAN"
"2021-09-22 22:00:00",10,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,12.81,15.13,764,857,0,0,0,0,2.315,91.9,4.2,14.63,9.42,967,56.63,14.28,-0.725,0.725,"NAN"
"2021-09-22 23:00:00",11,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,12.79,14.65,816,857,0,0,0,0,2.68,105.5,4.36,14.43,9.3,967,56.65,13.98,-0.8,0.725,"NAN"
"2021-09-23 00:00:00",12,"KS003","Flickner","Rainfed South",38.23461,-97.57095,455,12.77,14.22,787,881,0,0,0,0,2.565,117.9,4.29,13.83,9.23,967,58.38,13.65,-0.85,0.825,"NAN"
