dates,P_1_1,P_1_2,P_1_3,P_1_4,P_1_5,P_1_6,P_1_7,P_1_8,P_2_1,P_2_2,P_2_3,P_2_4,P_2_5,P_2_6,P_2_7,P_2_8,P_3_1,P_3_2,P_3_3,P_3_4,P_3_5,P_3_6,P_3_7,P_3_8,P_4_1,P_4_2,P_4_3,P_4_4,P_4_5,P_4_6,P_4_7,P_4_8,P_5_1,P_5_2,P_5_3,P_5_4,P_5_5,P_5_6,P_5_7,P_5_8
4/10/20 0:00,0.1356,0.3428,0.3785,NaN,NaN,NaN,NaN,0.1453,0.1072,0.3265,0.3856,NaN,NaN,NaN,NaN,NaN,0.197,0.2964,0.3151,NaN,NaN,NaN,NaN,0.2583,0.1329,0.3192,NaN,NaN,NaN,NaN,NaN,NaN,0.1466,0.3065,NaN,NaN,NaN,NaN,NaN,0.1843
4/10/20 1:00,0.1353,0.3424,0.3783,NaN,NaN,NaN,NaN,0.1453,0.1069,0.3259,0.3854,NaN,NaN,NaN,NaN,NaN,0.1962,0.2961,0.3149,NaN,NaN,NaN,NaN,0.2583,0.1324,0.3188,NaN,NaN,NaN,NaN,NaN,NaN,0.1462,0.3061,NaN,NaN,NaN,NaN,NaN,0.1843
4/10/20 2:00,0.1351,0.3422,0.3782,NaN,NaN,NaN,NaN,0.1454,0.1067,0.3254,0.3852,NaN,NaN,NaN,NaN,NaN,0.1956,0.2957,0.3148,NaN,NaN,NaN,NaN,0.2583,0.1321,0.3184,NaN,NaN,NaN,NaN,NaN,NaN,0.1458,0.3057,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 3:00,0.135,0.3421,0.378,NaN,NaN,NaN,NaN,0.1453,0.1068,0.3248,0.385,NaN,NaN,NaN,NaN,NaN,0.195,0.2954,0.3146,NaN,NaN,NaN,NaN,0.2583,0.1319,0.318,NaN,NaN,NaN,NaN,NaN,NaN,0.1456,0.3053,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 4:00,0.135,0.3419,0.3778,NaN,NaN,NaN,NaN,0.1454,0.1077,0.3243,0.3848,NaN,NaN,NaN,NaN,NaN,0.1946,0.295,0.3144,NaN,NaN,NaN,NaN,0.2584,0.1317,0.3176,NaN,NaN,NaN,NaN,NaN,NaN,0.1453,0.305,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 5:00,0.135,0.3415,0.3777,NaN,NaN,NaN,NaN,0.1454,0.1077,0.3237,0.3845,NaN,NaN,NaN,NaN,NaN,0.1943,0.2948,0.3143,NaN,NaN,NaN,NaN,0.2584,0.1316,0.3173,NaN,NaN,NaN,NaN,NaN,NaN,0.145,0.3048,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 6:00,0.135,0.3414,0.3775,NaN,NaN,NaN,NaN,0.1453,0.1078,0.3233,0.3843,NaN,NaN,NaN,NaN,NaN,0.194,0.2944,0.3142,NaN,NaN,NaN,NaN,0.2584,0.1314,0.317,NaN,NaN,NaN,NaN,NaN,NaN,0.1448,0.3045,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 7:00,0.135,0.341,0.3773,NaN,NaN,NaN,NaN,0.1453,0.1079,0.3228,0.3841,NaN,NaN,NaN,NaN,NaN,0.1936,0.2941,0.314,NaN,NaN,NaN,NaN,0.2584,0.1313,0.3167,NaN,NaN,NaN,NaN,NaN,NaN,0.1446,0.3043,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 8:00,0.1351,0.3407,0.3771,NaN,NaN,NaN,NaN,0.1454,0.1081,0.3224,0.3839,NaN,NaN,NaN,NaN,NaN,0.1933,0.2938,0.3138,NaN,NaN,NaN,NaN,0.2584,0.1312,0.3164,NaN,NaN,NaN,NaN,NaN,NaN,0.1446,0.3041,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 9:00,0.1354,0.3402,0.3767,NaN,NaN,NaN,NaN,0.1454,0.109,0.3221,0.3837,NaN,NaN,NaN,NaN,NaN,0.1937,0.2933,0.3136,NaN,NaN,NaN,NaN,0.2584,0.1315,0.3159,NaN,NaN,NaN,NaN,NaN,NaN,0.1451,0.3038,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 10:00,0.1363,0.3399,0.3764,NaN,NaN,NaN,NaN,0.1454,0.1098,0.3221,0.3836,NaN,NaN,NaN,NaN,NaN,0.1947,0.293,0.3136,NaN,NaN,NaN,NaN,0.2584,0.1323,0.3156,NaN,NaN,NaN,NaN,NaN,NaN,0.1458,0.3036,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 11:00,0.1372,0.3397,0.376,NaN,NaN,NaN,NaN,0.1454,0.1106,0.3222,0.3835,NaN,NaN,NaN,NaN,NaN,0.1961,0.2927,0.3137,NaN,NaN,NaN,NaN,0.2584,0.1332,0.3154,NaN,NaN,NaN,NaN,NaN,NaN,0.1469,0.3035,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 12:00,0.1377,0.3398,0.3757,NaN,NaN,NaN,NaN,0.1454,0.1111,0.3226,0.3834,NaN,NaN,NaN,NaN,NaN,0.1978,0.2927,0.3136,NaN,NaN,NaN,NaN,0.2584,0.1339,0.3154,NaN,NaN,NaN,NaN,NaN,NaN,0.1481,0.3036,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 13:00,0.1377,0.3399,0.3754,NaN,NaN,NaN,NaN,0.1453,0.1117,0.323,0.3834,NaN,NaN,NaN,NaN,NaN,0.199,0.293,0.3135,NaN,NaN,NaN,NaN,0.2584,0.1341,0.3156,NaN,NaN,NaN,NaN,NaN,NaN,0.1486,0.3037,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 14:00,0.137,0.3402,0.3753,NaN,NaN,NaN,NaN,0.1453,0.1115,0.3235,0.3834,NaN,NaN,NaN,NaN,NaN,0.199,0.2932,0.3134,NaN,NaN,NaN,NaN,0.2584,0.1336,0.3158,NaN,NaN,NaN,NaN,NaN,NaN,0.1481,0.3041,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 15:00,0.1361,0.3403,0.3752,NaN,NaN,NaN,NaN,0.1453,0.1109,0.3237,0.3835,NaN,NaN,NaN,NaN,NaN,0.1988,0.2935,0.3134,NaN,NaN,NaN,NaN,0.2585,0.1327,0.3159,NaN,NaN,NaN,NaN,NaN,NaN,0.1474,0.3043,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 16:00,0.1353,0.3401,0.375,NaN,NaN,NaN,NaN,0.1453,0.1106,0.3239,0.3836,NaN,NaN,NaN,NaN,NaN,0.1988,0.2937,0.3135,NaN,NaN,NaN,NaN,0.2585,0.1323,0.316,NaN,NaN,NaN,NaN,NaN,NaN,0.147,0.3043,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 17:00,0.1343,0.3401,0.375,NaN,NaN,NaN,NaN,0.1454,0.1099,0.324,0.3836,NaN,NaN,NaN,NaN,NaN,0.1985,0.2938,0.3138,NaN,NaN,NaN,NaN,0.2585,0.1312,0.3161,NaN,NaN,NaN,NaN,NaN,NaN,0.1462,0.3043,NaN,NaN,NaN,NaN,NaN,0.1844
4/10/20 18:00,0.1337,0.3401,0.3749,NaN,NaN,NaN,NaN,0.1455,0.1097,0.324,0.3837,NaN,NaN,NaN,NaN,NaN,0.1981,0.2939,0.3138,NaN,NaN,NaN,NaN,0.2585,0.1304,0.3161,NaN,NaN,NaN,NaN,NaN,NaN,0.1456,0.3043,NaN,NaN,NaN,NaN,NaN,0.1845
4/10/20 19:00,0.1329,0.3401,0.3749,NaN,NaN,NaN,NaN,0.1454,0.1093,0.3241,0.3838,NaN,NaN,NaN,NaN,NaN,0.1976,0.2941,0.3144,NaN,NaN,NaN,NaN,0.2585,0.1298,0.3161,NaN,NaN,NaN,NaN,NaN,NaN,0.1448,0.3043,NaN,NaN,NaN,NaN,NaN,0.1845
4/10/20 20:00,0.1324,0.3403,0.375,NaN,NaN,NaN,NaN,0.1455,0.1093,0.3241,0.3839,NaN,NaN,NaN,NaN,NaN,0.1972,0.2941,0.3151,NaN,NaN,NaN,NaN,0.2585,0.1293,0.3161,NaN,NaN,NaN,NaN,NaN,NaN,0.1442,0.3043,NaN,NaN,NaN,NaN,NaN,0.1845
4/10/20 21:00,0.132,0.3403,0.3751,NaN,NaN,NaN,NaN,0.1454,0.1087,0.3239,0.3839,NaN,NaN,NaN,NaN,NaN,0.1965,0.2941,0.3147,NaN,NaN,NaN,NaN,0.2584,0.1287,0.316,NaN,NaN,NaN,NaN,NaN,NaN,0.1434,0.3042,NaN,NaN,NaN,NaN,NaN,0.1845
4/10/20 22:00,0.1314,0.3403,0.3752,NaN,NaN,NaN,NaN,0.1454,0.109,0.3237,0.3839,NaN,NaN,NaN,NaN,NaN,0.1954,0.2941,0.3143,NaN,NaN,NaN,NaN,0.2584,0.128,0.3159,NaN,NaN,NaN,NaN,NaN,NaN,0.1426,0.3041,NaN,NaN,NaN,NaN,NaN,0.1845
4/10/20 23:00,0.1309,0.3399,0.3752,NaN,NaN,NaN,NaN,0.1454,0.1082,0.3234,0.3839,NaN,NaN,NaN,NaN,NaN,0.1947,0.2939,0.3155,NaN,NaN,NaN,NaN,0.2584,0.1273,0.3157,NaN,NaN,NaN,NaN,NaN,NaN,0.142,0.3038,NaN,NaN,NaN,NaN,NaN,0.1845
4/11/20 0:00,0.1303,0.3396,0.3752,NaN,NaN,NaN,NaN,0.1454,0.1077,0.3231,0.3839,NaN,NaN,NaN,NaN,NaN,0.1941,0.2937,0.3161,NaN,NaN,NaN,NaN,0.2584,0.1266,0.3155,NaN,NaN,NaN,NaN,NaN,NaN,0.1415,0.3035,NaN,NaN,NaN,NaN,NaN,0.1845
