TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period,Attenuation,Permittivity,Probe_Model
4/10/2020 14:40,2305,[Unspecified Zone],39.11058,-96.61275,30.53,1.5609,1.3799,16.9816,CD659 12cm rods
4/10/2020 14:40,2306,[Unspecified Zone],39.11055,-96.61276,29.58,1.5474,1.3955,16.3263,CD659 12cm rods
4/10/2020 14:40,2307,[Unspecified Zone],39.11053,-96.61277,29.58,1.5474,1.3955,16.3263,CD659 12cm rods
4/10/2020 14:40,2308,[Unspecified Zone],39.11053,-96.61277,19.78,1.4027,1.213,10.4944,CD659 12cm rods
4/10/2020 14:41,2309,[Unspecified Zone],39.11052,-96.61273,29.55,1.5474,1.4173,16.3022,CD659 12cm rods
4/10/2020 14:41,2310,[Unspecified Zone],39.1105,-96.61279,22.53,1.4434,1.265,11.9792,CD659 12cm rods
4/10/2020 14:41,2311,[Unspecified Zone],39.1105,-96.61279,21.98,1.4343,1.2284,11.6752,CD659 12cm rods
4/10/2020 14:41,2312,[Unspecified Zone],39.11053,-96.6128,24.56,1.4728,1.2865,13.1482,CD659 12cm rods
4/10/2020 14:42,2313,[Unspecified Zone],39.11054,-96.61278,27.05,1.5101,1.3576,14.6657,CD659 12cm rods
4/10/2020 14:42,2314,[Unspecified Zone],39.11054,-96.61278,27.47,1.5157,1.3475,14.9298,CD659 12cm rods
4/10/2020 14:42,2315,[Unspecified Zone],39.11054,-96.61278,23.7,1.4603,1.2777,12.6461,CD659 12cm rods
4/10/2020 14:43,2316,[Unspecified Zone],39.1106,-96.61292,22.73,1.4456,1.2481,12.0934,CD659 12cm rods
4/10/2020 14:43,2317,[Unspecified Zone],39.1106,-96.61297,21.71,1.4309,1.2399,11.5264,CD659 12cm rods
4/10/2020 14:43,2318,ZONE 00004,39.1106,-96.61302,22.89,1.4479,1.2487,12.1828,CD659 12cm rods
4/10/2020 14:43,2319,ZONE 00004,39.11061,-96.61314,19.87,1.4038,1.2105,10.5403,CD659 12cm rods
4/10/2020 14:44,2320,ZONE 00004,39.1106,-96.61324,28.65,1.5327,1.3446,15.6984,CD659 12cm rods
4/10/2020 14:44,2321,ZONE 00004,39.11059,-96.61337,21.65,1.4298,1.2302,11.4967,CD659 12cm rods
4/10/2020 14:44,2322,"ZONE 00004, ZONE 00005",39.11058,-96.61349,28.64,1.5327,1.3489,15.6941,CD659 12cm rods
4/10/2020 14:44,2323,"ZONE 00004, ZONE 00005",39.11058,-96.61361,24.57,1.4716,1.2432,13.1534,CD659 12cm rods
4/10/2020 14:45,2324,ZONE 00005,39.11058,-96.61371,28.92,1.5361,1.3189,15.8762,CD659 12cm rods
4/10/2020 14:45,2325,ZONE 00005,39.11057,-96.61383,19.65,1.3982,1.1484,10.4267,CD659 12cm rods
4/10/2020 14:45,2326,ZONE 00005,39.11058,-96.61383,19.65,1.3982,1.1484,10.4267,CD659 12cm rods
4/10/2020 14:45,2327,ZONE 00005,39.11058,-96.61383,14.14,1.3156,1.1104,7.711,CD659 12cm rods
4/10/2020 14:46,2328,ZONE 00005,39.11058,-96.61383,19.33,1.3936,1.1509,10.26,CD659 12cm rods
4/10/2020 14:46,2329,ZONE 00005,39.11057,-96.61371,25.44,1.4841,1.2395,13.6742,CD659 12cm rods
4/10/2020 14:46,2330,"ZONE 00004, ZONE 00005",39.11059,-96.61362,19.31,1.3948,1.1861,10.2471,CD659 12cm rods
4/10/2020 14:46,2331,"ZONE 00004, ZONE 00005",39.11059,-96.61351,16.65,1.3552,1.1571,8.9073,CD659 12cm rods
4/10/2020 14:46,2332,ZONE 00004,39.11058,-96.6134,17.86,1.3744,1.1912,9.5093,CD659 12cm rods
4/10/2020 14:47,2333,ZONE 00004,39.11057,-96.61329,17.88,1.3744,1.1852,9.520101,CD659 12cm rods
4/10/2020 14:47,2334,[Unspecified Zone],39.11055,-96.61315,27.03,1.5089,1.3281,14.6506,CD659 12cm rods
4/10/2020 14:47,2335,[Unspecified Zone],39.11058,-96.61306,20.4,1.4117,1.2193,10.8221,CD659 12cm rods
4/10/2020 14:48,2336,[Unspecified Zone],39.11058,-96.61294,24.62,1.4728,1.2598,13.1812,CD659 12cm rods
4/10/2020 14:48,2337,[Unspecified Zone],39.11059,-96.61292,25.52,1.4886,1.3603,13.7194,CD659 12cm rods
4/10/2020 14:48,2338,[Unspecified Zone],39.11058,-96.61286,23.56,1.4581,1.2695,12.565,CD659 12cm rods
4/10/2020 14:49,2339,[Unspecified Zone],39.11052,-96.61275,28.82,1.5361,1.3864,15.8102,CD659 12cm rods
4/10/2020 14:49,2340,[Unspecified Zone],39.11052,-96.61275,30.43,1.5598,1.3971,16.9124,CD659 12cm rods
4/10/2020 14:49,2341,[Unspecified Zone],39.11053,-96.61271,26.83,1.5067,1.3497,14.5252,CD659 12cm rods
4/10/2020 14:49,2342,[Unspecified Zone],39.11053,-96.61267,23.43,1.4569,1.2909,12.4886,CD659 12cm rods
4/10/2020 14:50,2343,[Unspecified Zone],39.11054,-96.61263,23.56,1.4592,1.3029,12.5637,CD659 12cm rods
4/10/2020 14:50,2344,ZONE 00011,39.11056,-96.6125,23.23,1.4524,1.2392,12.3764,CD659 12cm rods
4/10/2020 14:50,2345,ZONE 00011,39.11057,-96.6124,29.76,1.5485,1.3187,16.447,CD659 12cm rods
4/10/2020 14:51,2346,ZONE 00011,39.11055,-96.6123,29.62,1.5462,1.3112,16.3479,CD659 12cm rods
4/10/2020 14:51,2347,ZONE 00011,39.11056,-96.61219,35.52,1.64,1.5813,20.8041,CD659 12cm rods
4/10/2020 14:51,2348,ZONE 00011,39.11055,-96.61206,26.48,1.501,1.3218,14.3107,CD659 12cm rods
4/10/2020 14:51,2349,ZONE 00011,39.11054,-96.61194,26.78,1.5055,1.3331,14.4954,CD659 12cm rods
4/10/2020 14:52,2350,ZONE 00011,39.11054,-96.61182,25.44,1.4852,1.2885,13.6689,CD659 12cm rods
4/10/2020 14:52,2351,"ZONE 00001, ZONE 00011",39.11053,-96.61171,29.24,1.5417,1.3625,16.0964,CD659 12cm rods
4/10/2020 14:52,2352,"ZONE 00001, ZONE 00011",39.11052,-96.61169,29.24,1.5417,1.3625,16.0964,CD659 12cm rods
4/10/2020 14:52,2353,"ZONE 00001, ZONE 00011",39.11052,-96.61169,19.79,1.4129,1.4042,10.4964,CD659 12cm rods
4/10/2020 14:53,2354,ZONE 00011,39.11052,-96.61179,28.94,1.5372,1.3585,15.8917,CD659 12cm rods
4/10/2020 14:53,2355,ZONE 00011,39.11051,-96.6119,29.46,1.544,1.3148,16.2413,CD659 12cm rods
4/10/2020 14:53,2356,ZONE 00011,39.1105,-96.612,25.09,1.4807,1.3032,13.4593,CD659 12cm rods
4/10/2020 14:53,2357,ZONE 00011,39.1105,-96.61211,27.88,1.5225,1.3787,15.1982,CD659 12cm rods
4/10/2020 14:54,2358,ZONE 00011,39.11048,-96.61224,27.69,1.5202,1.3969,15.0724,CD659 12cm rods
4/10/2020 14:54,2359,ZONE 00011,39.11049,-96.61234,25.83,1.4908,1.2885,13.9097,CD659 12cm rods
4/10/2020 14:54,2360,ZONE 00011,39.11049,-96.61243,28.96,1.5372,1.3452,15.9046,CD659 12cm rods
4/10/2020 14:54,2361,ZONE 00011,39.11049,-96.61255,29.38,1.5451,1.4224,16.1898,CD659 12cm rods
4/10/2020 14:55,2362,[Unspecified Zone],39.1105,-96.61264,28.02,1.5247,1.3903,15.2866,CD659 12cm rods
4/10/2020 14:55,2363,[Unspecified Zone],39.11049,-96.61269,29.54,1.5462,1.372,16.2973,CD659 12cm rods
4/10/2020 14:55,2364,[Unspecified Zone],39.11051,-96.61275,27.76,1.5202,1.3614,15.1166,CD659 12cm rods
4/10/2020 14:55,2365,[Unspecified Zone],39.11055,-96.61275,25.46,1.4852,1.2746,13.6849,CD659 12cm rods
4/10/2020 14:55,2366,[Unspecified Zone],39.1106,-96.61272,25.19,1.4818,1.2912,13.5222,CD659 12cm rods
4/10/2020 14:56,2367,[Unspecified Zone],39.11063,-96.61272,20.98,1.4208,1.2424,11.1294,CD659 12cm rods
4/10/2020 14:56,2368,[Unspecified Zone],39.11073,-96.61267,23.69,1.4603,1.2837,12.6379,CD659 12cm rods
4/10/2020 14:56,2369,[Unspecified Zone],39.11081,-96.61265,23.36,1.4547,1.2527,12.4499,CD659 12cm rods
4/10/2020 14:56,2370,ZONE 00004,39.11089,-96.6126,25.51,1.4863,1.292,13.7128,CD659 12cm rods
4/10/2020 14:57,2371,ZONE 00004,39.11097,-96.61256,23.24,1.4535,1.2686,12.3826,CD659 12cm rods
4/10/2020 14:57,2372,ZONE 00003,39.11105,-96.6125,24.99,1.4784,1.2732,13.4011,CD659 12cm rods
4/10/2020 14:57,2373,ZONE 00003,39.11113,-96.61245,23.88,1.4626,1.2692,12.7501,CD659 12cm rods
4/10/2020 14:57,2374,ZONE 00003,39.1112,-96.6124,26.64,1.5021,1.2768,14.408,CD659 12cm rods
4/10/2020 14:58,2375,ZONE 00003,39.11126,-96.61237,25.59,1.4874,1.2918,13.7612,CD659 12cm rods
4/10/2020 14:58,2376,ZONE 00003,39.11126,-96.61232,24.44,1.4705,1.2686,13.0769,CD659 12cm rods
4/10/2020 14:58,2377,ZONE 00003,39.11119,-96.61236,26.38,1.4988,1.2903,14.2477,CD659 12cm rods
4/10/2020 14:58,2378,ZONE 00003,39.11113,-96.61227,19.97,1.4049,1.2052,10.5908,CD659 12cm rods
4/10/2020 14:59,2379,[Unspecified Zone],39.11101,-96.61233,26.88,1.5067,1.3196,14.5607,CD659 12cm rods
4/10/2020 14:59,2380,ZONE 00004,39.11092,-96.61263,19.9,1.4049,1.2256,10.5575,CD659 12cm rods
4/10/2020 14:59,2381,[Unspecified Zone],39.11087,-96.61247,21.81,1.4321,1.2308,11.5837,CD659 12cm rods
4/10/2020 14:59,2382,[Unspecified Zone],39.11078,-96.61254,19.31,1.3948,1.1872,10.2455,CD659 12cm rods
4/10/2020 15:00,2383,[Unspecified Zone],39.1107,-96.61259,24.66,1.4739,1.2793,13.2045,CD659 12cm rods
4/10/2020 15:00,2384,[Unspecified Zone],39.11064,-96.61264,20.02,1.4061,1.2156,10.6162,CD659 12cm rods
4/10/2020 15:00,2385,[Unspecified Zone],39.11061,-96.61266,22.3,1.44,1.26,11.8518,CD659 12cm rods
4/10/2020 15:00,2386,[Unspecified Zone],39.11057,-96.61268,21.06,1.4219,1.2411,11.1749,CD659 12cm rods
4/10/2020 15:00,2387,[Unspecified Zone],39.11053,-96.6127,25.19,1.4818,1.2899,13.5237,CD659 12cm rods
4/10/2020 15:01,2388,[Unspecified Zone],39.11049,-96.61275,27.04,1.5101,1.3643,14.6572,CD659 12cm rods
4/10/2020 15:01,2389,[Unspecified Zone],39.11044,-96.6128,29.49,1.5451,1.3503,16.2648,CD659 12cm rods
4/10/2020 15:01,2390,[Unspecified Zone],39.11042,-96.61284,23.87,1.4615,1.2355,12.7459,CD659 12cm rods
4/10/2020 15:01,2391,[Unspecified Zone],39.11036,-96.61289,26.58,1.5055,1.4219,14.3727,CD659 12cm rods
4/10/2020 15:02,2392,ZONE 00010,39.11028,-96.61298,18.06,1.3767,1.1815,9.6064,CD659 12cm rods
4/10/2020 15:02,2393,ZONE 00010,39.11019,-96.61294,17.21,1.3642,1.1741,9.1854,CD659 12cm rods
4/10/2020 15:02,2394,ZONE 00010,39.11011,-96.6129,22.98,1.449,1.2419,12.237,CD659 12cm rods
4/10/2020 15:02,2395,ZONE 00010,39.11001,-96.61289,25.06,1.4784,1.2347,13.4431,CD659 12cm rods
4/10/2020 15:03,2396,ZONE 00010,39.10993,-96.61292,21.38,1.4242,1.1801,11.3486,CD659 12cm rods
4/10/2020 15:03,2397,ZONE 00010,39.10985,-96.61292,22.54,1.4422,1.2262,11.9886,CD659 12cm rods
4/10/2020 15:03,2398,ZONE 00010,39.10977,-96.61295,19.41,1.397,1.2047,10.2995,CD659 12cm rods
4/10/2020 15:03,2399,ZONE 00010,39.1097,-96.61298,21.77,1.4309,1.2144,11.5629,CD659 12cm rods
4/10/2020 15:04,2400,ZONE 00010,39.10961,-96.61298,21.37,1.4242,1.1849,11.3423,CD659 12cm rods
4/10/2020 15:04,2401,ZONE 00010,39.10952,-96.61297,21.2,1.4219,1.1893,11.2507,CD659 12cm rods
4/10/2020 15:04,2402,"ZONE 00007, ZONE 00010",39.10944,-96.61295,21.82,1.4309,1.1951,11.5886,CD659 12cm rods
4/10/2020 15:04,2403,"ZONE 00007, ZONE 00010",39.10937,-96.61295,19.45,1.3959,1.1657,10.3198,CD659 12cm rods
4/10/2020 15:05,2404,"ZONE 00007, ZONE 00010",39.10938,-96.6129,18.38,1.3812,1.1807,9.768101,CD659 12cm rods
4/10/2020 15:05,2405,ZONE 00010,39.10948,-96.61287,21.39,1.4253,1.2074,11.355,CD659 12cm rods
4/10/2020 15:05,2406,ZONE 00010,39.10957,-96.61283,20.43,1.4117,1.2104,10.8361,CD659 12cm rods
4/10/2020 15:05,2407,ZONE 00010,39.10968,-96.6129,23.53,1.4558,1.208,12.5496,CD659 12cm rods
4/10/2020 15:06,2408,ZONE 00010,39.10968,-96.61282,23.82,1.4603,1.2236,12.7138,CD659 12cm rods
4/10/2020 15:06,2409,ZONE 00010,39.10986,-96.61275,21.07,1.4196,1.1787,11.1793,CD659 12cm rods
4/10/2020 15:06,2410,ZONE 00010,39.10996,-96.61275,28.08,1.5236,1.3058,15.3261,CD659 12cm rods
4/10/2020 15:07,2411,ZONE 00010,39.11007,-96.61273,21.13,1.4208,1.1873,11.2104,CD659 12cm rods
4/10/2020 15:07,2412,ZONE 00010,39.11017,-96.61272,20.7,1.4151,1.1993,10.9803,CD659 12cm rods
4/10/2020 15:07,2413,ZONE 00010,39.11024,-96.61271,23.78,1.4615,1.279,12.6907,CD659 12cm rods
4/10/2020 15:07,2414,ZONE 00010,39.11033,-96.61268,29.18,1.5428,1.4454,16.0543,CD659 12cm rods
4/10/2020 15:08,2415,[Unspecified Zone],39.11042,-96.61268,27.17,1.5123,1.3759,14.7432,CD659 12cm rods
4/10/2020 15:08,2416,[Unspecified Zone],39.11047,-96.61269,26.86,1.5078,1.3732,14.545,CD659 12cm rods
