TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period,Attenuation,Permittivity,Probe_Model
4/17/2020 10:30,2447,[Unspecified Zone],39.11053,-96.61276,34.06,1.6152,1.4359,19.6146,CD659 12cm rods
4/17/2020 10:30,2448,[Unspecified Zone],39.11047,-96.61268,39.88,1.7124,1.6008,24.8329,CD659 12cm rods
4/17/2020 10:31,2449,[Unspecified Zone],39.11058,-96.61282,35.04,1.631,1.4752,20.4087,CD659 12cm rods
4/17/2020 10:31,2450,[Unspecified Zone],39.11056,-96.61279,36.61,1.6559,1.4132,21.7408,CD659 12cm rods
4/17/2020 10:31,2451,[Unspecified Zone],39.11056,-96.61279,34.08,1.6163,1.4963,19.6297,CD659 12cm rods
4/17/2020 10:32,2452,[Unspecified Zone],39.11058,-96.61298,27.63,1.518,1.3458,15.0328,CD659 12cm rods
4/17/2020 10:32,2453,ZONE 00004,39.11066,-96.61311,32.07,1.5858,1.488,18.0873,CD659 12cm rods
4/17/2020 10:33,2454,[Unspecified Zone],39.11056,-96.6131,32.5,1.5903,1.3696,18.4076,CD659 12cm rods
4/17/2020 10:34,2455,[Unspecified Zone],39.11047,-96.61319,35.92,1.6446,1.3976,21.1473,CD659 12cm rods
4/17/2020 10:35,2456,[Unspecified Zone],39.11048,-96.6133,32,1.5824,1.3374,18.0389,CD659 12cm rods
4/17/2020 10:35,2457,"ZONE 00004, ZONE 00005",39.11058,-96.61353,30.51,1.5598,1.3294,16.9664,CD659 12cm rods
4/17/2020 10:36,2458,ZONE 00005,39.11054,-96.61358,27.23,1.5101,1.2406,14.7818,CD659 12cm rods
4/17/2020 10:37,2459,ZONE 00005,39.11055,-96.61388,31.52,1.5745,1.2596,17.6886,CD659 12cm rods
4/17/2020 10:37,2460,ZONE 00005,39.11055,-96.61386,31.82,1.579,1.2272,17.9063,CD659 12cm rods
4/17/2020 10:37,2461,ZONE 00005,39.11046,-96.61398,31.45,1.5734,1.2565,17.6361,CD659 12cm rods
4/17/2020 10:38,2462,ZONE 00005,39.1105,-96.61419,30.14,1.553,1.2019,16.7065,CD659 12cm rods
4/17/2020 10:38,2463,ZONE 00005,39.11048,-96.61421,30.79,1.5632,1.2321,17.1668,CD659 12cm rods
4/17/2020 10:39,2464,ZONE 00005,39.1105,-96.61423,27.66,1.5157,1.1938,15.0553,CD659 12cm rods
4/17/2020 10:39,2465,"ZONE 00005, ZONE 00006",39.11044,-96.6142,31.6,1.5756,1.2305,17.7466,CD659 12cm rods
4/17/2020 10:39,2466,ZONE 00005,39.11052,-96.61395,27.29,1.5112,1.2593,14.8164,CD659 12cm rods
4/17/2020 10:40,2467,ZONE 00005,39.11058,-96.61384,27.31,1.5112,1.2373,14.8332,CD659 12cm rods
4/17/2020 10:40,2468,ZONE 00005,39.11055,-96.61368,31.97,1.5824,1.3814,18.0138,CD659 12cm rods
4/17/2020 10:40,2469,[Unspecified Zone],39.11044,-96.61347,27.64,1.5168,1.2906,15.0379,CD659 12cm rods
4/17/2020 10:41,2470,"ZONE 00004, ZONE 00005",39.11056,-96.6135,30.75,1.5632,1.3094,17.1377,CD659 12cm rods
4/17/2020 10:41,2471,ZONE 00004,39.11058,-96.61334,30.28,1.5564,1.3342,16.8042,CD659 12cm rods
4/17/2020 10:41,2472,ZONE 00004,39.11058,-96.61313,23.85,1.4626,1.2825,12.7322,CD659 12cm rods
4/17/2020 10:42,2473,ZONE 00004,39.11058,-96.61315,28.23,1.5281,1.4066,15.4212,CD659 12cm rods
4/17/2020 10:42,2474,ZONE 00004,39.11058,-96.61315,24.72,1.4761,1.3207,13.2445,CD659 12cm rods
4/17/2020 10:42,2475,ZONE 00004,39.1106,-96.61308,34,1.614,1.4206,19.5656,CD659 12cm rods
4/17/2020 10:43,2476,[Unspecified Zone],39.11058,-96.61302,27.15,1.5112,1.3496,14.7258,CD659 12cm rods
4/17/2020 10:43,2477,[Unspecified Zone],39.11057,-96.61285,31.57,1.579,1.5075,17.7265,CD659 12cm rods
4/17/2020 10:43,2478,[Unspecified Zone],39.1105,-96.61269,36.51,1.6547,1.4872,21.6603,CD659 12cm rods
4/17/2020 10:44,2479,[Unspecified Zone],39.1105,-96.61269,40.82,1.7305,1.761,25.8052,CD659 12cm rods
4/17/2020 10:44,2480,ZONE 00011,39.11053,-96.61259,36.09,1.6491,1.581,21.2931,CD659 12cm rods
4/17/2020 10:44,2481,ZONE 00011,39.11048,-96.61258,30.99,1.5677,1.3761,17.3082,CD659 12cm rods
4/17/2020 10:45,2482,ZONE 00011,39.11056,-96.6125,32.94,1.5971,1.3603,18.7457,CD659 12cm rods
4/17/2020 10:45,2483,ZONE 00011,39.11064,-96.61234,33.59,1.6073,1.3711,19.2465,CD659 12cm rods
4/17/2020 10:45,2484,ZONE 00011,39.11066,-96.61224,34.59,1.6231,1.3954,20.0375,CD659 12cm rods
4/17/2020 10:46,2485,ZONE 00011,39.11063,-96.61211,36.92,1.6615,1.4984,22.0214,CD659 12cm rods
4/17/2020 10:46,2486,ZONE 00011,39.11058,-96.61197,31.63,1.5767,1.3412,17.7647,CD659 12cm rods
4/17/2020 10:47,2487,ZONE 00011,39.11058,-96.61181,36.8,1.6593,1.4536,21.9144,CD659 12cm rods
4/17/2020 10:47,2488,"ZONE 00001, ZONE 00011",39.1106,-96.61172,38.2,1.683,1.5186,23.1924,CD659 12cm rods
4/17/2020 10:47,2489,"ZONE 00001, ZONE 00002, ZONE 00011",39.11081,-96.61158,37.35,1.6683,1.4244,22.4047,CD659 12cm rods
4/17/2020 10:47,2490,"ZONE 00001, ZONE 00002, ZONE 00011",39.11061,-96.61141,37.48,1.6706,1.4684,22.5216,CD659 12cm rods
4/17/2020 10:48,2491,"ZONE 00001, ZONE 00011",39.11058,-96.61131,39.38,1.7033,1.5348,24.3317,CD659 12cm rods
4/17/2020 10:48,2492,"ZONE 00001, ZONE 00011",39.11054,-96.61157,38.92,1.6954,1.5526,23.8788,CD659 12cm rods
4/17/2020 10:49,2493,"ZONE 00001, ZONE 00011",39.11057,-96.61161,40.96,1.7316,1.5096,25.9556,CD659 12cm rods
4/17/2020 10:49,2494,ZONE 00011,39.11057,-96.61174,33.52,1.6061,1.3746,19.1886,CD659 12cm rods
4/17/2020 10:49,2495,ZONE 00011,39.11057,-96.61185,33.23,1.6016,1.3616,18.9689,CD659 12cm rods
4/17/2020 10:50,2496,ZONE 00011,39.11056,-96.61201,33.75,1.6095,1.3253,19.3722,CD659 12cm rods
4/17/2020 10:50,2497,ZONE 00011,39.11055,-96.61215,42.86,1.7678,1.7753,28.0922,CD659 12cm rods
4/17/2020 10:50,2498,ZONE 00011,39.11056,-96.61232,32.97,1.5971,1.2884,18.7664,CD659 12cm rods
4/17/2020 10:50,2499,ZONE 00011,39.11052,-96.61247,31.06,1.5688,1.3839,17.3561,CD659 12cm rods
4/17/2020 10:51,2500,ZONE 00011,39.11054,-96.6126,32.05,1.5835,1.3751,18.0729,CD659 12cm rods
4/17/2020 10:51,2501,[Unspecified Zone],39.11047,-96.61275,38.54,1.6886,1.4863,23.513,CD659 12cm rods
4/17/2020 10:52,2502,[Unspecified Zone],39.11051,-96.61273,39.83,1.7112,1.5465,24.7815,CD659 12cm rods
4/17/2020 10:52,2503,[Unspecified Zone],39.11054,-96.61274,30.25,1.5564,1.3635,16.7817,CD659 12cm rods
4/17/2020 10:53,2504,[Unspecified Zone],39.11073,-96.61275,32,1.5835,1.4218,18.039,CD659 12cm rods
4/17/2020 10:53,2505,[Unspecified Zone],39.11058,-96.61277,30.4,1.5587,1.36,16.8911,CD659 12cm rods
4/17/2020 10:54,2506,[Unspecified Zone],39.11068,-96.6127,33.19,1.6027,1.4936,18.9363,CD659 12cm rods
4/17/2020 10:54,2507,[Unspecified Zone],39.11072,-96.61273,34.91,1.6287,1.4518,20.3041,CD659 12cm rods
4/17/2020 10:54,2508,[Unspecified Zone],39.11092,-96.61256,35.35,1.6355,1.4298,20.6668,CD659 12cm rods
4/17/2020 10:55,2509,"ZONE 00003, ZONE 00004",39.11105,-96.6125,32.5,1.5914,1.449,18.4077,CD659 12cm rods
4/17/2020 10:55,2510,ZONE 00003,39.11114,-96.61246,35.63,1.64,1.4267,20.904,CD659 12cm rods
4/17/2020 10:55,2511,ZONE 00003,39.11122,-96.6124,33.95,1.6129,1.3736,19.5291,CD659 12cm rods
4/17/2020 10:56,2512,ZONE 00003,39.11138,-96.6124,34.07,1.6152,1.416,19.6255,CD659 12cm rods
4/17/2020 10:56,2513,ZONE 00003,39.11142,-96.6123,35.63,1.64,1.4317,20.9023,CD659 12cm rods
4/17/2020 10:57,2514,ZONE 00003,39.11169,-96.61221,30.01,1.553,1.3652,16.6208,CD659 12cm rods
4/17/2020 10:57,2515,ZONE 00003,39.11169,-96.6123,31.92,1.5813,1.3445,17.9807,CD659 12cm rods
4/17/2020 10:57,2516,ZONE 00003,39.11161,-96.61231,31.57,1.5756,1.3149,17.7236,CD659 12cm rods
4/17/2020 10:58,2517,ZONE 00003,39.11156,-96.61241,33.39,1.6039,1.3464,19.0864,CD659 12cm rods
4/17/2020 10:58,2518,ZONE 00003,39.11146,-96.61231,36.88,1.6604,1.3934,21.982,CD659 12cm rods
4/17/2020 10:58,2519,ZONE 00003,39.11134,-96.61243,37.54,1.6717,1.4799,22.5806,CD659 12cm rods
4/17/2020 10:59,2520,"ZONE 00003, ZONE 00004",39.11119,-96.61251,31.66,1.5779,1.3859,17.7909,CD659 12cm rods
4/17/2020 10:59,2521,ZONE 00004,39.11104,-96.61257,33.66,1.6084,1.3705,19.3033,CD659 12cm rods
4/17/2020 10:59,2522,ZONE 00004,39.11095,-96.6126,31.11,1.57,1.4047,17.393,CD659 12cm rods
4/17/2020 10:59,2523,ZONE 00004,39.11087,-96.61263,38.99,1.6966,1.513,23.9518,CD659 12cm rods
4/17/2020 11:00,2524,[Unspecified Zone],39.1107,-96.61269,34.66,1.6242,1.3798,20.1,CD659 12cm rods
4/17/2020 11:00,2525,[Unspecified Zone],39.11064,-96.61271,23.15,1.4535,1.3029,12.3322,CD659 12cm rods
4/17/2020 11:00,2526,[Unspecified Zone],39.11063,-96.6127,33.16,1.6005,1.3572,18.9146,CD659 12cm rods
4/17/2020 11:01,2527,[Unspecified Zone],39.11058,-96.61275,30.96,1.5677,1.4059,17.283,CD659 12cm rods
4/17/2020 11:01,2528,ZONE 00011,39.11057,-96.61259,36.34,1.6525,1.5373,21.5109,CD659 12cm rods
4/17/2020 11:01,2529,[Unspecified Zone],39.11049,-96.61282,34.78,1.6276,1.5259,20.1937,CD659 12cm rods
4/17/2020 11:02,2530,[Unspecified Zone],39.11037,-96.6128,34.87,1.6276,1.4041,20.2664,CD659 12cm rods
4/17/2020 11:02,2531,[Unspecified Zone],39.11035,-96.61288,32.8,1.596,1.442,18.6393,CD659 12cm rods
4/17/2020 11:02,2532,ZONE 00010,39.11026,-96.61296,32.3,1.5869,1.3345,18.2591,CD659 12cm rods
4/17/2020 11:03,2533,ZONE 00010,39.11019,-96.61295,31.99,1.5824,1.3478,18.0337,CD659 12cm rods
4/17/2020 11:03,2534,ZONE 00010,39.10992,-96.61295,33.33,1.6027,1.2825,19.0429,CD659 12cm rods
4/17/2020 11:03,2535,ZONE 00010,39.10996,-96.61293,31.19,1.57,1.3231,17.4506,CD659 12cm rods
4/17/2020 11:04,2536,ZONE 00010,39.10984,-96.61294,29.12,1.5383,1.2677,16.0151,CD659 12cm rods
4/17/2020 11:04,2537,ZONE 00010,39.10971,-96.61291,30.33,1.5564,1.2678,16.8417,CD659 12cm rods
4/17/2020 11:04,2538,ZONE 00010,39.10964,-96.61291,28.55,1.5293,1.2236,15.6344,CD659 12cm rods
4/17/2020 11:05,2539,ZONE 00010,39.10961,-96.61288,31.74,1.579,1.3802,17.8497,CD659 12cm rods
4/17/2020 11:05,2540,ZONE 00010,39.1095,-96.61285,29.72,1.5474,1.2801,16.4195,CD659 12cm rods
4/17/2020 11:05,2541,ZONE 00010,39.10942,-96.61282,31.69,1.5779,1.3556,17.8109,CD659 12cm rods
4/17/2020 11:06,2542,"ZONE 00007, ZONE 00010",39.10931,-96.6128,35.77,1.6423,1.4337,21.0202,CD659 12cm rods
4/17/2020 11:06,2543,"ZONE 00007, ZONE 00008, ZONE 00010",39.10921,-96.61282,34.25,1.6174,1.3056,19.7684,CD659 12cm rods
4/17/2020 11:06,2544,"ZONE 00007, ZONE 00008, ZONE 00010",39.10906,-96.61279,32.11,1.5835,1.2553,18.1179,CD659 12cm rods
4/17/2020 11:06,2545,"ZONE 00007, ZONE 00008, ZONE 00010",39.10898,-96.61278,32.07,1.5835,1.3439,18.0904,CD659 12cm rods
4/17/2020 11:07,2546,"ZONE 00007, ZONE 00008",39.10887,-96.61275,32.01,1.5824,1.3265,18.0438,CD659 12cm rods
4/17/2020 11:07,2547,"ZONE 00007, ZONE 00008",39.10877,-96.61275,33.31,1.6027,1.345,19.0309,CD659 12cm rods
4/17/2020 11:07,2548,"ZONE 00007, ZONE 00008",39.10868,-96.61273,34.52,1.622,1.3938,19.9804,CD659 12cm rods
4/17/2020 11:08,2549,ZONE 00008,39.10857,-96.61268,31.22,1.5711,1.3722,17.4736,CD659 12cm rods
4/17/2020 11:08,2550,ZONE 00008,39.10849,-96.61261,35.1,1.6321,1.4953,20.4549,CD659 12cm rods
4/17/2020 11:08,2551,ZONE 00008,39.10864,-96.6126,32.98,1.5982,1.4125,18.7735,CD659 12cm rods
4/17/2020 11:08,2552,ZONE 00008,39.10869,-96.61259,33.25,1.6016,1.331,18.9792,CD659 12cm rods
