TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period,Attenuation,Permittivity,Probe_Model
5/21/2020 7:59,2702,[Unspecified Zone],39.1105,-96.61276,15.99,1.3462,1.165,8.5879,CD659 12cm rods
5/21/2020 8:00,2703,[Unspecified Zone],39.1105,-96.61278,26.16,1.4965,1.3266,14.1081,CD659 12cm rods
5/21/2020 8:01,2704,[Unspecified Zone],39.1105,-96.61277,30.48,1.5598,1.3586,16.9456,CD659 12cm rods
5/21/2020 8:02,2705,[Unspecified Zone],39.1105,-96.61275,28.36,1.5293,1.375,15.5114,CD659 12cm rods
5/21/2020 8:03,2706,[Unspecified Zone],39.1105,-96.61275,34.04,1.6152,1.4609,19.5986,CD659 12cm rods
5/21/2020 8:04,2707,[Unspecified Zone],39.11053,-96.61275,29.14,1.5406,1.3802,16.0261,CD659 12cm rods
5/21/2020 8:05,2708,[Unspecified Zone],39.11051,-96.61273,31.26,1.5722,1.4112,17.4965,CD659 12cm rods
5/21/2020 8:05,2709,[Unspecified Zone],39.11051,-96.61273,33.57,1.6073,1.4042,19.2314,CD659 12cm rods
5/21/2020 8:09,2710,[Unspecified Zone],39.11052,-96.61273,29.31,1.5428,1.3707,16.1408,CD659 12cm rods
5/21/2020 8:10,2711,[Unspecified Zone],39.11053,-96.61272,30.85,1.5654,1.3721,17.2032,CD659 12cm rods
5/21/2020 8:11,2712,[Unspecified Zone],39.11054,-96.61269,29.84,1.5507,1.378,16.503,CD659 12cm rods
5/21/2020 8:12,2713,[Unspecified Zone],39.11056,-96.61267,25.87,1.492,1.3117,13.9309,CD659 12cm rods
5/21/2020 8:14,2714,ZONE 00011,39.11055,-96.61261,24.52,1.4728,1.3045,13.1243,CD659 12cm rods
5/21/2020 8:15,2715,[Unspecified Zone],39.11057,-96.61263,23.8,1.4615,1.2698,12.7031,CD659 12cm rods
5/21/2020 8:16,2716,[Unspecified Zone],39.11059,-96.61261,26.84,1.5055,1.3013,14.5309,CD659 12cm rods
5/21/2020 8:17,2717,[Unspecified Zone],39.11059,-96.61261,26.76,1.5055,1.3412,14.4857,CD659 12cm rods
5/21/2020 8:17,2718,ZONE 00011,39.11061,-96.61256,27.07,1.5101,1.3465,14.6793,CD659 12cm rods
5/21/2020 8:18,2719,ZONE 00011,39.11063,-96.61254,22.08,1.4366,1.2529,11.7284,CD659 12cm rods
